t_sim_s,x_m,y_m,z_m
4.9860,13.4149,0.5617,0.8667
4.9980,13.4079,0.5787,0.7937
5.0090,13.3996,0.5886,0.7758
5.0200,13.4067,0.5934,0.8029
5.0310,13.4447,0.5939,0.8674
5.0430,13.5354,0.5912,0.9656
5.0550,13.6859,0.5877,1.0717
5.0660,13.8763,0.5861,1.1558
5.0780,14.1324,0.5885,1.2121
5.0890,14.3968,0.5957,1.2168
5.1010,14.6958,0.6100,1.1622
5.1120,14.9600,0.6296,1.0573
5.1230,15.1967,0.6548,0.9065
5.1340,15.3913,0.6841,0.7224
5.1460,15.5452,0.7180,0.5036
5.1570,15.6307,0.7484,0.3070
5.1690,15.6699,0.7779,0.1195
5.1800,15.6702,0.7976,-0.0014
5.1900,15.6666,0.7958,0.0113
5.2010,15.6602,0.7903,0.0525
5.2130,15.6596,0.7804,0.1297
5.2240,15.6735,0.7684,0.2273
5.2350,15.7080,0.7547,0.3456
5.2460,15.7685,0.7402,0.4782
5.2570,15.8579,0.7260,0.6174
5.2690,15.9895,0.7118,0.7669
5.2800,16.1394,0.7011,0.8930
5.2910,16.3130,0.6931,1.0012
5.3020,16.5047,0.6883,1.0860
5.3120,16.6901,0.6873,1.1402
5.3240,16.9189,0.6901,1.1737
5.3360,17.1455,0.6972,1.1723
5.3470,17.3430,0.7068,1.1419
5.3590,17.5392,0.7200,1.0814
5.3700,17.6958,0.7335,1.0063
5.3810,17.8261,0.7474,0.9191
5.3930,17.9361,0.7619,0.8187
5.4040,18.0077,0.7735,0.7299
5.4150,18.0536,0.7827,0.6514
5.4270,18.0791,0.7893,0.5850
5.4380,18.0861,0.7918,0.5469
5.4490,18.0841,0.7906,0.5341
5.4610,18.0804,0.7855,0.5503
5.4730,18.0842,0.7769,0.5972
5.4850,18.1044,0.7655,0.6711
5.4970,18.1483,0.7524,0.7661
5.5080,18.2138,0.7399,0.8653
5.5190,18.3057,0.7279,0.9688
5.5310,18.4363,0.7163,1.0786
5.5420,18.5818,0.7078,1.1689
5.5540,18.7646,0.7014,1.2492
5.5650,18.9489,0.6986,1.3011
5.5760,19.1434,0.6989,1.3294
5.5870,19.3423,0.7022,1.3324
5.5980,19.5395,0.7086,1.3103
5.6090,19.7294,0.7175,1.2645
5.6200,19.9069,0.7283,1.1977
5.6310,20.0678,0.7401,1.1138
5.6420,20.2092,0.7524,1.0171
5.6540,20.3390,0.7651,0.9030
5.6660,20.4427,0.7762,0.7862
5.6770,20.5155,0.7842,0.6823
5.6880,20.5687,0.7895,0.5862
5.7000,20.6075,0.7916,0.4950
5.7110,20.6291,0.7898,0.4277
5.7220,20.6417,0.7843,0.3789
5.7340,20.6506,0.7740,0.3486
5.7460,20.6611,0.7595,0.3432
5.7580,20.6801,0.7413,0.3620
5.7690,20.7105,0.7219,0.3982
5.7800,20.7583,0.7006,0.4492
5.7920,20.8345,0.6763,0.5166
