t_ros,dt,gecikme_s,bbox,bbox_w,bbox_h,olcek_ham,eps_deg,duzeltme,olcek,kalite,guven,u_nisan_x,u_nisan_y,u_nisan_z,u_govde_x,u_govde_y,u_govde_z,yaw_hata_deg,pitch_hata_deg,yatay_bilesen,azimut_kalite,yaw_adim_deg,yatay_lead_deg,az_rate_dps,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,v_doygun,yaw_doygun,durum,eksen_disi_deg,govde_yukselti_deg,menzil_kestirim_m,menzil_gercek_m,menzil_ham_m,menzil_red,menzil_kaynak,alt_faz,en_yakin_m,kapanma_hizi_ms,mod,gorev_faz,aktif_klemp,menzil_rate_ms,kapanma_bileseni_ms,vhk_x,vhk_y,vhk_z,lead_aktif,pitch_body_deg,kamera_dunya_pitch_deg,pn_dikey_deg,coalt_deg,los_elev_deg,los_elev_rate_dps,gama_deg,kadraj_hata_deg,kadraj_duz_deg,gercek_yaw_deg,gercek_elev_deg,gercek_menzil_ham_m,gercek_u_px,gercek_v_px,gercek_onde,gercek_kadraj_ici,bbox_yaw_sapma_deg,bbox_elev_sapma_deg,bbox_menzil_sapma_m,yapilandirma
107.514,,0.1227,307|276|343|287,,,,,,,,,,,,,,,,,,,,,,,,,,,,bayat,,,,6.086,6.086,0,gz,,6.09,,,,,,,,,,,,,,,,,,,,2.84,10.79,6.096,328.4,282.1,1,1,,,,"ALGI=bbox,GT=off,KILIT_BYPASS=off,TRACKER=off,LOCK=off,V_KAPANMA=25.0,V_YAKLASMA=20.0,PN_YATAY=0.6,GPS_RANGE=6.5,IVME=4.0/10.0,FLYPAST=8.0/1.5"
107.548,,0.0849,304|276|342|285,38.0,9.0,38.0,5.76,1.005,37.81,1.0,0.858,0.01751,0.23345,0.97221,0.97978,0.01751,-0.1993,1.02,11.5,0.9799,1.0,1.23,0.0,0.0,17.57,-3.95,-0.62,-15.3,0,0,ok,13.54,11.5,7.43,6.086,6.086,0,gz,terminal,6.09,-0.0,,ENGAGE,kapanma,0.0,4.0,13.77,-2.89,0.01,0,-5.75,19.25,0.0,10.0,5.76,0.0,-1.0,-13.5,-6.75,3.57,10.16,6.972,330.6,284.1,1,1,-2.55,1.33,0.46,
107.614,0.0660000000000025,0.0423,312|278|348|287,36.0,9.0,36.0,5.11,1.004,35.86,1.0,0.825,0.05811,0.24406,0.96802,0.98047,0.05811,-0.1879,3.39,10.83,0.9822,1.0,4.07,3.83,6.4,17.84,-3.94,-1.28,-12.4,1,0,ok,14.53,10.83,7.84,6.081,6.081,0,gz,terminal,6.08,0.07,,STRIKE,mutlak_tavan,-0.04,25.0,13.76,-2.9,0.01,1,-5.75,19.25,-1.06,10.0,5.5,-1.8,-2.64,-14.17,-7.08,3.57,10.16,6.976,330.6,284.1,1,1,-0.17,0.67,0.86,
107.646,0.031999999999996476,0.0583,308|276|345|286,37.0,10.0,37.0,5.23,1.0041,36.85,1.0,0.804,0.03495,0.23885,0.97043,0.98045,0.03495,-0.19365,2.04,11.17,0.9811,1.0,2.45,8.68,14.5,17.94,-3.87,-1.56,-11.8,1,0,ok,13.97,11.17,7.63,6.077,6.077,0,gz,terminal,6.08,0.12,,STRIKE,mutlak_tavan,-0.08,25.0,13.75,-2.92,0.01,1,-6.0,18.98,-1.48,10.0,5.39,-2.5,-3.01,-13.83,-6.92,1.62,10.37,7.013,324.8,283.5,1,1,0.43,0.8,0.61,
107.68,0.034000000000006025,0.052,305|277|341|287,36.0,10.0,36.0,5.75,1.005,35.82,1.0,0.816,0.01746,0.24444,0.96951,0.98198,0.01746,-0.18819,1.02,10.85,0.9821,1.0,1.22,3.54,5.9,18.08,-3.86,-1.9,-13.6,1,0,ok,14.19,10.85,7.85,6.072,6.072,0,gz,terminal,6.07,0.15,,STRIKE,mutlak_tavan,-0.11,25.0,13.75,-2.93,0.01,1,-5.13,19.85,0.32,10.0,5.53,0.5,-1.22,-14.15,-7.08,1.91,9.7,6.684,325.7,285.6,1,1,-0.89,1.15,1.16,
107.712,0.031999999999996476,0.0692,310|280|345|290,35.0,10.0,35.0,5.07,1.0039,34.86,1.0,0.838,0.04053,0.26058,0.9646,0.98435,0.04053,-0.1715,2.36,9.87,0.9852,1.0,2.83,3.8,6.3,18.21,-3.85,-1.58,-12.7,1,0,ok,15.29,9.87,8.06,6.065,6.065,0,gz,terminal,6.06,0.23,,STRIKE,mutlak_tavan,-0.17,25.0,13.71,-2.94,-0.01,1,-4.87,20.12,-1.4,10.0,5.35,-2.3,-3.61,-15.13,-7.56,2.61,9.45,6.662,327.8,286.3,1,1,-0.25,0.43,1.4,
107.746,0.033999999999991815,0.0663,310|280|346|289,36.0,9.0,36.0,5.18,1.0041,35.85,1.0,0.825,0.04638,0.2551,0.9658,0.98312,0.04638,-0.17696,2.7,10.19,0.9842,1.0,3.06,11.12,18.5,18.29,-3.75,-1.48,-9.9,1,1,ok,15.03,10.19,7.84,6.056,6.056,0,gz,terminal,6.06,0.28,,STRIKE,mutlak_tavan,-0.22,25.0,13.68,-2.99,-0.01,1,-5.15,19.8,-1.29,10.0,5.28,-2.1,-3.41,-14.81,-7.4,0.35,9.8,6.657,321.0,285.2,1,1,2.35,0.39,1.18,
107.812,0.0660000000000025,0.0436,300|280|335|289,35.0,9.0,35.0,5.43,1.0045,34.84,1.0,0.823,-0.01741,0.25534,0.9667,0.98403,-0.01741,-0.17713,-1.01,10.2,0.9842,1.0,-1.22,3.93,6.5,18.55,-3.71,-1.68,-13.6,1,0,ok,14.83,10.2,8.07,6.045,6.045,0,gz,terminal,6.04,0.17,,STRIKE,mutlak_tavan,-0.2,25.0,13.74,-2.99,-0.03,1,-4.71,20.26,-0.46,10.0,5.34,-0.8,-2.52,-14.8,-7.4,-0.36,9.29,6.672,318.9,286.8,1,1,-0.65,0.91,1.39,
107.844,0.031999999999996476,0.0628,305|280|340|290,35.0,10.0,35.0,4.7,1.0033,34.88,1.0,0.833,0.01159,0.26077,0.96533,0.98509,0.01159,-0.17163,0.67,9.88,0.9852,1.0,0.81,0.56,0.9,18.66,-3.79,-1.36,-13.1,1,0,ok,15.13,9.88,8.06,6.033,6.033,0,gz,terminal,6.03,0.37,,STRIKE,mutlak_tavan,-0.28,25.0,13.68,-2.99,-0.07,1,-5.21,19.77,-2.44,10.0,5.08,-4.1,-4.91,-15.12,-7.56,0.92,9.73,6.669,322.7,285.5,1,1,-0.24,0.15,1.39,
107.878,0.034000000000006025,0.0564,305|277|341|287,36.0,10.0,36.0,4.63,1.0033,35.88,1.0,0.828,0.01746,0.24444,0.96951,0.98198,0.01746,-0.18819,1.02,10.85,0.9821,1.0,1.22,4.07,6.8,18.79,-3.75,-1.19,-11.3,1,0,ok,14.19,10.85,7.83,6.018,6.018,0,gz,terminal,6.02,0.44,,STRIKE,mutlak_tavan,-0.36,25.0,13.62,-3.03,-0.11,1,-6.26,18.69,-2.78,10.0,4.9,-4.6,-4.95,-14.15,-7.08,-0.19,10.86,6.651,319.4,282.0,1,1,1.21,-0.02,1.18,
