t_ros,dt,gecikme_s,bbox,bbox_w,bbox_h,olcek_ham,eps_deg,duzeltme,olcek,kalite,guven,u_nisan_x,u_nisan_y,u_nisan_z,u_govde_x,u_govde_y,u_govde_z,yaw_hata_deg,pitch_hata_deg,yatay_bilesen,azimut_kalite,yaw_adim_deg,yatay_lead_deg,az_rate_dps,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,v_doygun,yaw_doygun,durum,eksen_disi_deg,govde_yukselti_deg,menzil_kestirim_m,menzil_gercek_m,menzil_ham_m,menzil_red,menzil_kaynak,alt_faz,en_yakin_m,kapanma_hizi_ms,mod,gorev_faz,aktif_klemp,menzil_rate_ms,kapanma_bileseni_ms,vhk_x,vhk_y,vhk_z,lead_aktif,pitch_body_deg,kamera_dunya_pitch_deg,pn_dikey_deg,coalt_deg,los_elev_deg,los_elev_rate_dps,gama_deg,kadraj_hata_deg,kadraj_duz_deg,gercek_yaw_deg,gercek_elev_deg,gercek_menzil_ham_m,gercek_u_px,gercek_v_px,gercek_onde,gercek_kadraj_ici,bbox_yaw_sapma_deg,bbox_elev_sapma_deg,bbox_menzil_sapma_m,yapilandirma
75.934,,0.1011,296|287|333|296,37.0,9.0,37.0,6.8,1.007,36.74,1.0,0.82,-0.03442,0.29257,0.95562,0.98974,-0.03442,-0.13871,-1.99,7.97,0.9903,1.0,-2.39,0.0,0.0,17.54,-3.48,-0.55,-14.9,0,0,ok,17.13,7.97,7.65,5.998,5.998,0,gz,terminal,6.0,,,ENGAGE,kapanma,0.0,4.0,13.71,-2.48,0.03,0,-1.13,23.87,0.0,10.0,6.8,0.0,-1.71,-17.03,-8.51,-0.03,5.95,6.07,319.9,297.5,1,1,-1.97,2.02,1.58,"ALGI=bbox,GT=off,KILIT_BYPASS=off,TRACKER=off,LOCK=off,V_KAPANMA=25.0,V_YAKLASMA=20.0,PN_YATAY=0.6,GPS_RANGE=6.5,IVME=4.0/10.0,FLYPAST=8.0/1.5"
75.966,0.031999999999996476,0.0847,294|289|331|300,37.0,11.0,37.0,5.85,1.0052,36.81,1.0,0.859,-0.04564,0.30805,0.95028,0.99143,-0.04564,-0.12242,-2.64,7.03,0.9925,1.0,-2.88,0.0,-3.5,17.59,-3.54,-0.27,-15.4,0,1,ok,18.14,7.03,7.63,6.001,6.001,0,gz,terminal,6.0,-0.08,,ENGAGE,kapanma,0.04,4.0,13.74,-2.49,0.02,0,-1.13,23.87,-3.22,10.0,6.42,-5.4,-5.79,-17.97,-8.98,0.02,5.62,6.642,320.0,298.6,1,1,-2.65,1.41,0.99,
76.032,0.0660000000000025,0.0605,300|292|335|301,35.0,9.0,35.0,4.92,1.0037,34.87,1.0,0.843,-0.01707,0.3186,0.94774,0.99359,-0.01707,-0.11178,-0.98,6.42,0.9937,1.0,-1.18,4.05,6.8,17.86,-3.53,-0.5,-11.5,1,0,ok,18.61,6.42,8.06,6.003,6.003,0,gz,terminal,6.0,-0.04,,STRIKE,mutlak_tavan,0.04,25.0,13.75,-2.5,0.04,1,-1.43,23.53,-4.22,10.0,5.82,-7.0,-7.69,-18.58,-9.29,-1.94,6.03,6.658,314.1,297.2,1,1,0.96,0.39,1.4,
76.066,0.034000000000006025,0.0561,294|291|329|301,35.0,10.0,35.0,5.69,1.0049,34.83,1.0,0.865,-0.05114,0.31823,0.94663,0.99243,-0.05114,-0.11165,-2.95,6.41,0.9937,1.0,-3.06,5.52,9.2,17.99,-3.49,-0.82,-12.5,1,1,ok,18.8,6.41,8.07,6.007,6.007,0,gz,terminal,6.0,-0.1,,STRIKE,mutlak_tavan,0.07,25.0,13.78,-2.52,0.04,1,-0.61,24.37,-2.74,10.0,5.77,-4.6,-6.26,-18.59,-9.29,-3.13,5.29,6.666,310.4,299.7,1,1,0.18,1.12,1.4,
76.098,0.031999999999996476,0.0648,291|293|330|304,39.0,11.0,39.0,5.5,1.0046,38.82,1.0,0.83,-0.0566,0.32829,0.94288,0.99328,-0.0566,-0.10095,-3.26,5.79,0.9949,1.0,-2.88,-7.25,-12.1,18.04,-3.61,-0.82,-15.6,1,1,ok,19.46,5.79,7.24,6.008,6.008,0,gz,terminal,6.0,-0.05,,STRIKE,mutlak_tavan,0.06,25.0,13.76,-2.56,0.0,1,-0.12,24.85,-2.41,10.0,5.66,-4.0,-6.35,-19.21,-9.6,0.2,4.68,6.66,320.6,301.7,1,1,-3.46,1.11,0.58,
76.132,0.034000000000006025,0.0779,302|295|339|306,37.0,11.0,37.0,3.86,1.0023,36.92,1.0,0.831,0.0,0.33887,0.94083,0.9959,0.0,-0.09049,0.0,5.19,0.9959,1.0,0.0,2.45,4.1,18.17,-3.63,-0.48,-12.1,1,0,ok,19.81,5.19,7.61,6.011,6.011,0,gz,terminal,6.0,-0.09,4,STRIKE,mutlak_tavan,0.07,25.0,13.78,-2.56,-0.02,1,-1.32,23.64,-7.04,10.0,4.94,-11.7,-12.0,-19.81,-9.9,-0.5,5.93,6.649,318.5,297.6,1,1,0.5,-0.74,0.96,
76.164,0.031999999999996476,0.0715,302|292|337|302,35.0,10.0,35.0,4.71,1.0034,34.88,1.0,0.846,-0.00568,0.32374,0.94613,0.9943,-0.00568,-0.10644,-0.33,6.11,0.9943,1.0,-0.39,9.88,16.5,18.26,-3.54,-0.19,-11.0,1,0,ok,18.89,6.11,8.06,6.014,6.014,0,gz,terminal,6.0,-0.08,4,STRIKE,mutlak_tavan,0.08,25.0,13.78,-2.58,-0.03,1,-1.38,23.6,-4.64,10.0,4.85,-7.7,-9.23,-18.89,-9.44,-2.08,6.01,6.661,313.6,297.3,1,1,1.76,0.1,1.4,
76.23,0.0660000000000025,0.0551,298|292|333|302,35.0,10.0,35.0,4.62,1.0032,34.89,1.0,0.838,-0.02839,0.32362,0.94576,0.99392,-0.02839,-0.1064,-1.64,6.11,0.9943,1.0,-1.96,-0.31,-0.5,18.47,-3.7,-0.57,-16.2,1,0,ok,18.96,6.11,8.06,6.016,6.016,0,gz,terminal,6.0,-0.03,4,STRIKE,mutlak_tavan,0.05,25.0,13.76,-2.61,-0.07,1,-1.41,23.56,-2.93,10.0,4.76,-4.9,-7.62,-18.89,-9.45,1.48,5.82,6.669,324.5,297.9,1,1,-3.12,0.29,1.39,
76.264,0.033999999999991815,0.0505,308|290|346|300,38.0,10.0,38.0,3.35,1.0017,37.94,1.0,0.889,0.03987,0.31327,0.94883,0.99232,0.03987,-0.11707,2.3,6.72,0.9931,1.0,2.76,0.8,1.3,18.59,-3.76,-0.23,-13.0,1,0,ok,18.41,6.72,7.41,6.017,6.017,0,gz,terminal,6.0,-0.03,4,STRIKE,mutlak_tavan,0.04,25.0,13.76,-2.62,-0.12,1,-3.44,21.55,-6.08,10.0,4.2,-10.1,-11.02,-18.28,-9.14,3.01,7.83,6.653,329.1,291.4,1,1,-0.71,-1.11,0.76,
76.296,0.03200000000001069,0.0617,310|284|345|294,35.0,10.0,35.0,4.38,1.0029,34.9,1.0,0.815,0.04028,0.28197,0.95858,0.98793,0.04028,-0.14957,2.33,8.6,0.9888,1.0,2.8,8.99,15.0,18.67,-3.66,-0.55,-10.7,1,0,ok,16.55,8.6,8.05,6.017,6.017,0,gz,terminal,6.0,-0.02,4,STRIKE,mutlak_tavan,0.03,25.0,13.77,-2.63,-0.15,1,-4.26,20.73,-2.71,10.0,4.27,-4.5,-6.64,-16.4,-8.2,0.47,9.06,6.087,321.4,287.6,1,1,1.87,-0.46,1.97,
76.33,0.033999999999991815,0.0628,305|282|341|292,36.0,10.0,36.0,4.21,1.0027,35.9,1.0,0.875,0.01733,0.2715,0.96228,0.98687,0.01733,-0.16061,1.01,9.24,0.987,1.0,1.21,-0.86,-1.4,18.76,-3.77,-0.89,-14.3,1,0,ok,15.79,9.24,7.83,6.017,6.017,0,gz,terminal,6.0,0.02,4,STRIKE,mutlak_tavan,0.01,25.0,13.77,-2.65,-0.18,1,-5.06,19.93,-1.69,10.0,4.25,-2.8,-5.32,-15.76,-7.88,2.6,9.45,6.562,327.7,286.3,1,1,-1.59,-0.2,1.27,
76.362,0.031999999999996476,0.0631,307|281|344|291,37.0,10.0,37.0,2.39,1.0009,36.97,1.0,0.855,0.02892,0.26607,0.96352,0.98569,0.02892,-0.16606,1.68,9.56,0.9861,1.0,2.02,-7.12,-11.9,18.78,-3.89,-0.57,-15.2,1,0,ok,15.52,9.56,7.6,6.016,6.016,0,gz,terminal,6.0,0.04,4,STRIKE,mutlak_tavan,-0.01,25.0,13.78,-2.65,-0.2,1,-7.18,17.82,-7.19,10.0,3.5,-12.0,-11.4,-15.44,-7.72,4.08,11.92,5.994,331.9,278.6,1,1,-2.4,-2.36,1.61,
76.396,0.034000000000006025,0.0667,313|277|349|286,36.0,9.0,36.0,2.96,1.0013,35.95,1.0,0.816,0.06399,0.2385,0.96903,0.97904,0.06399,-0.19337,3.74,11.15,0.9811,1.0,3.06,5.59,9.3,18.88,-3.81,-0.26,-12.0,1,1,ok,14.3,11.15,7.82,6.012,6.012,0,gz,terminal,6.0,0.11,4,STRIKE,mutlak_tavan,-0.06,25.0,13.78,-2.67,-0.21,1,-8.23,16.77,-5.7,10.0,3.28,-9.5,-9.34,-13.85,-6.93,1.84,12.89,6.019,325.3,275.7,1,1,1.9,-1.74,1.8,
