t,dt,durum,d_h,menzil,tgt_x,tgt_y,tgt_z,tgt_vx,tgt_vy,tgt_vz,iris_x,iris_y,iris_z,iris_roll_deg,iris_pitch_deg,iris_yaw_deg,st_x,st_y,st_z,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,kadraj_yaw_deg,kadraj_elev_deg,kadraj_pitch_hata_deg,u_px,v_px,tgt_omega_dps,ic_kayma_m,ic_yaricap_m
4513.121,0.0501,KILIT,14.79,15.09,1098.22,-185.61,-15.68,11.05,-2.32,-0.0,1083.82,-182.24,-12.69,-1.4,1.9,45.1,1084.45,-182.45,-11.9,10.67,-2.42,0.6,39.1,-57.8,11.61,-13.39,72.6,251.4,0.16,0.26,
4513.171,0.0501,KILIT,15.0,15.3,1098.99,-185.77,-15.68,12.32,-2.59,-0.0,1084.38,-182.36,-12.69,-1.9,2.4,42.5,1085.28,-182.66,-11.91,11.27,-2.43,0.65,36.5,-55.06,11.47,-13.53,94.2,256.0,0.14,0.23,
4513.221,0.0501,KILIT,15.14,15.44,1099.67,-185.92,-15.68,12.67,-2.7,-0.0,1084.92,-182.47,-12.68,-0.8,2.0,38.0,1085.86,-183.63,-11.93,11.59,-2.93,0.67,32.0,-50.78,10.57,-14.43,122.1,265.1,-0.39,0.64,
4513.271,0.0501,KILIT,15.23,15.52,1100.3,-186.05,-15.68,12.64,-2.71,-0.0,1085.47,-182.58,-12.68,1.2,4.0,40.4,1086.51,-184.03,-11.95,11.91,-3.44,0.68,34.4,-53.13,7.8,-17.2,98.5,275.9,-0.56,0.92,
4513.321,0.0501,KILIT,14.67,14.97,1100.3,-186.05,-15.68,12.64,-2.71,-0.0,1086.02,-182.69,-12.68,0.2,5.1,38.7,1086.58,-184.05,-11.97,11.93,-4.05,0.69,32.7,-51.28,8.24,-16.76,113.1,275.3,-0.56,0.92,
4513.372,0.0504,KILIT,14.95,15.25,1101.11,-186.23,-15.68,11.28,-2.42,-0.0,1086.56,-182.81,-12.67,1.8,4.9,34.0,1087.49,-184.1,-11.99,12.03,-4.45,0.68,27.9,-46.77,6.73,-18.27,139.0,285.3,-0.47,0.77,
4513.422,0.0501,KILIT,15.08,15.38,1101.79,-186.37,-15.68,11.99,-2.56,-0.0,1087.11,-182.92,-12.66,2.5,6.2,36.0,1088.33,-183.87,-12.01,12.52,-4.11,0.67,30.0,-48.65,5.37,-19.63,124.1,290.6,-0.22,0.36,
4513.472,0.0501,KILIT,14.52,14.84,1101.79,-186.37,-15.68,11.99,-2.56,-0.0,1087.66,-183.03,-12.65,1.4,8.1,35.9,1088.4,-183.89,-12.03,12.26,-3.57,0.64,29.9,-48.33,5.39,-19.61,126.3,290.7,-0.22,0.36,
4513.522,0.0501,KILIT,14.62,14.94,1102.42,-186.5,-15.68,10.28,-2.18,-0.0,1088.19,-183.15,-12.64,1.7,7.7,31.3,1089.14,-183.85,-12.05,11.87,-3.11,0.62,25.3,-43.83,5.04,-19.96,153.1,294.2,-0.1,0.16,
4513.574,0.0517,KILIT,14.92,15.23,1103.25,-186.68,-15.68,12.02,-2.56,-0.0,1088.73,-183.27,-12.63,-0.2,7.9,30.1,1090.0,-184.28,-12.07,12.46,-3.27,0.6,23.9,-42.49,5.9,-19.1,162.0,291.0,-0.25,0.41,
4513.624,0.0502,KILIT,15.1,15.41,1103.97,-186.83,-15.68,12.68,-2.7,-0.0,1089.27,-183.38,-12.62,1.5,9.2,32.2,1090.83,-184.23,-12.09,13.07,-3.26,0.59,26.2,-44.57,3.89,-21.11,146.7,299.2,-0.12,0.19,
4513.674,0.0501,KILIT,14.56,14.88,1103.97,-186.83,-15.68,12.68,-2.7,-0.0,1089.8,-183.5,-12.6,-1.3,8.4,29.5,1090.9,-184.25,-12.11,13.49,-2.92,0.49,23.5,-41.75,6.6,-18.4,167.0,288.4,-0.12,0.19,
4513.724,0.0503,KILIT,14.67,14.99,1104.61,-186.97,-15.68,10.8,-2.29,-0.0,1090.33,-183.62,-12.59,-0.8,7.3,25.3,1091.64,-184.29,-12.13,12.95,-2.65,0.48,19.3,-37.7,6.64,-18.36,187.0,289.8,-0.04,0.07,
4513.775,0.0505,KILIT,14.97,15.29,1105.45,-187.14,-15.68,12.52,-2.63,-0.0,1090.87,-183.75,-12.57,0.3,7.4,26.0,1092.65,-183.97,-12.15,13.49,-2.37,0.46,19.9,-38.4,5.78,-19.22,182.6,293.0,0.29,0.47,
4513.825,0.0501,KILIT,14.43,14.76,1105.45,-187.14,-15.68,12.52,-2.63,-0.0,1091.4,-183.86,-12.55,-1.8,7.2,25.9,1092.72,-183.99,-12.17,13.59,-1.78,0.42,19.9,-38.12,7.73,-17.27,186.5,285.3,0.29,0.47,
4513.875,0.0501,KILIT,14.61,14.94,1106.16,-187.29,-15.68,10.91,-2.3,-0.0,1091.94,-183.98,-12.53,-0.7,5.1,22.2,1093.49,-184.26,-12.19,12.99,-1.77,0.36,16.2,-34.7,8.39,-16.61,202.5,284.1,0.22,0.36,
4513.925,0.0505,KILIT,14.98,15.31,1107.04,-187.48,-15.68,12.86,-2.72,-0.0,1092.45,-184.1,-12.51,-1.9,4.0,20.5,1094.37,-184.78,-12.21,13.5,-2.11,0.35,14.4,-32.88,9.64,-15.36,211.4,280.2,0.01,0.02,
4513.976,0.0502,KILIT,15.2,15.53,1107.79,-187.64,-15.68,13.46,-2.84,-0.0,1092.98,-184.23,-12.49,0.3,3.9,22.4,1095.23,-184.77,-12.23,14.07,-2.28,0.34,16.4,-34.98,8.49,-16.51,201.5,283.6,0.14,0.22,
4514.027,0.051,KILIT,14.65,15.0,1107.79,-187.64,-15.68,13.46,-2.84,-0.0,1093.51,-184.36,-12.47,0.1,2.1,20.4,1095.3,-184.78,-12.25,14.63,-2.53,0.29,14.3,-33.1,10.55,-14.45,211.4,276.8,0.14,0.22,
4514.077,0.0501,KILIT,14.78,15.13,1108.45,-187.78,-15.68,11.4,-2.41,-0.0,1094.04,-184.49,-12.45,2.1,0.7,16.5,1096.02,-185.03,-12.27,14.07,-2.74,0.22,10.5,-29.64,10.68,-14.32,225.0,277.7,0.08,0.12,
4514.127,0.0504,KILIT,14.89,15.24,1109.07,-187.91,-15.68,11.66,-2.45,-0.0,1094.55,-184.6,-12.43,3.5,0.2,16.7,1096.75,-184.99,-12.29,14.57,-2.44,0.14,10.6,-30.11,10.4,-14.6,223.0,278.5,0.19,0.32,
4514.178,0.0509,KILIT,15.18,15.53,1109.88,-188.08,-15.68,12.94,-2.74,-0.0,1095.08,-184.72,-12.42,2.0,-0.5,15.7,1097.55,-185.54,-12.31,15.02,-2.85,0.14,9.6,-28.92,11.6,-13.4,228.5,274.8,-0.04,0.07,
4514.228,0.0503,KILIT,14.63,15.0,1109.88,-188.08,-15.68,12.94,-2.74,-0.0,1095.61,-184.85,-12.4,4.8,-2.2,11.8,1097.63,-185.56,-12.33,14.8,-3.41,0.09,5.8,-25.82,12.58,-12.42,240.3,272.6,-0.04,0.07,
4514.28,0.0516,KILIT,15.04,15.4,1110.81,-188.28,-15.68,11.77,-2.49,-0.0,1096.13,-184.97,-12.38,3.1,-3.3,11.3,1098.62,-185.78,-12.35,14.99,-3.65,0.03,5.1,-25.07,14.09,-10.91,243.9,267.9,-0.05,0.09,
4514.33,0.0505,KILIT,14.49,14.87,1110.81,-188.28,-15.68,11.77,-2.49,-0.0,1096.67,-185.09,-12.36,3.6,-3.3,12.7,1098.69,-185.8,-12.37,14.41,-3.5,0.02,6.6,-26.64,14.29,-10.71,238.6,266.7,-0.05,0.09,
4514.381,0.0501,KILIT,14.76,15.13,1111.58,-188.44,-15.68,10.55,-2.24,-0.0,1097.18,-185.2,-12.34,3.7,-4.9,8.3,1099.53,-186.02,-12.39,13.81,-3.41,-0.01,2.3,-22.49,15.93,-9.07,253.5,262.9,-0.09,0.14,
4514.431,0.0501,KILIT,14.91,15.28,1112.26,-188.58,-15.68,11.48,-2.43,-0.0,1097.72,-185.32,-12.33,2.5,-6.1,5.8,1100.34,-185.92,-12.41,14.29,-3.05,-0.04,-0.2,-19.77,17.61,-7.39,262.9,258.6,0.09,0.14,
4514.481,0.0501,KILIT,15.14,15.51,1113.01,-188.75,-15.68,12.53,-2.69,-0.0,1098.24,-185.45,-12.31,2.0,-5.6,7.7,1100.97,-187.0,-12.43,14.58,-3.58,-0.06,1.7,-21.41,17.07,-7.93,257.5,259.7,-0.51,0.82,
4514.532,0.0508,KILIT,15.38,15.75,1113.79,-188.91,-15.68,13.34,-2.85,-0.0,1098.78,-185.56,-12.3,1.4,-6.6,4.3,1101.9,-186.76,-12.44,15.15,-3.78,-0.07,-1.8,-17.89,18.28,-6.72,268.9,257.1,-0.23,0.38,
4514.582,0.0504,KILIT,15.53,15.89,1114.47,-189.06,-15.68,13.41,-2.86,-0.0,1099.32,-185.68,-12.29,0.3,-6.7,1.4,1102.67,-186.86,-12.46,15.74,-3.9,-0.1,-4.7,-14.53,18.74,-6.26,279.0,256.6,-0.19,0.31,
4514.632,0.0501,KILIT,14.97,15.35,1114.47,-189.06,-15.68,13.41,-2.86,-0.0,1099.86,-185.79,-12.29,-0.3,-6.4,1.9,1102.74,-186.87,-12.48,16.26,-4.01,-0.19,-4.1,-14.88,19.02,-5.98,278.1,255.7,-0.19,0.31,
4514.684,0.0515,KILIT,15.04,15.42,1115.08,-189.19,-15.68,11.18,-2.38,-0.0,1100.4,-185.9,-12.28,-0.0,-7.0,-0.6,1103.45,-186.91,-12.5,15.68,-3.77,-0.2,-6.8,-12.46,19.58,-5.42,285.3,254.5,-0.12,0.2,
4514.734,0.0501,KILIT,15.33,15.7,1115.88,-189.37,-15.68,12.64,-2.73,-0.0,1100.93,-186.01,-12.27,-1.7,-7.0,-2.8,1104.19,-187.7,-12.52,15.89,-4.33,-0.22,-8.8,-9.6,19.73,-5.27,293.4,254.6,-0.51,0.83,
4514.784,0.0501,KILIT,14.76,15.15,1115.88,-189.37,-15.68,12.64,-2.73,-0.0,1101.48,-186.14,-12.27,-1.2,-7.0,-2.7,1104.26,-187.71,-12.54,15.37,-4.63,-0.24,-8.7,-9.85,20.11,-4.89,292.8,253.4,-0.51,0.83,
4514.834,0.0501,KILIT,14.92,15.31,1116.57,-189.5,-15.68,10.9,-2.32,-0.0,1102.01,-186.25,-12.26,-1.7,-8.1,-4.5,1105.12,-187.41,-12.56,14.97,-4.19,-0.26,-10.5,-7.8,21.17,-3.83,298.7,250.6,-0.21,0.34,
4514.884,0.05,KILIT,15.57,15.94,1117.21,-189.64,-15.68,11.44,-2.46,-0.0,1102.01,-186.25,-12.26,-1.7,-8.1,-4.5,1105.74,-187.97,-12.58,15.48,-4.5,-0.28,-10.5,-7.79,20.64,-4.36,298.6,252.2,-0.47,0.77,
4514.934,0.0501,KILIT,15.62,15.99,1117.81,-189.77,-15.68,11.61,-2.48,-0.0,1102.56,-186.37,-12.26,-2.1,-8.8,-7.8,1106.49,-187.76,-12.6,16.01,-4.21,-0.31,-12.6,-4.18,21.28,-3.72,308.6,250.7,-0.25,0.4,
4514.984,0.0504,KILIT,15.67,16.04,1118.4,-189.89,-15.68,11.64,-2.48,-0.0,1103.1,-186.48,-12.26,-2.1,-8.8,-7.8,1107.2,-187.65,-12.62,16.39,-3.75,-0.33,-12.6,-4.19,21.25,-3.75,308.6,250.8,-0.09,0.14,
4515.035,0.0501,KILIT,15.69,16.06,1118.97,-190.02,-15.68,11.55,-2.47,-0.0,1103.65,-186.59,-12.25,-2.9,-9.5,-8.7,1107.81,-187.95,-12.64,16.66,-3.71,-0.39,-12.6,-2.95,21.98,-3.02,312.0,248.7,-0.19,0.31,
4515.085,0.05,KILIT,15.72,16.09,1119.54,-190.14,-15.68,11.5,-2.46,-0.0,1104.19,-186.71,-12.25,-2.9,-9.9,-11.3,1108.46,-188.02,-12.66,16.62,-3.52,-0.41,-11.3,-0.18,22.24,-2.76,319.5,248.0,-0.15,0.24,
4515.135,0.0501,KILIT,15.16,15.54,1120.1,-190.25,-15.68,11.42,-2.4,-0.0,1105.3,-186.96,-12.25,-3.5,-10.4,-12.0,1109.3,-187.19,-12.68,16.41,-2.96,-0.41,-12.0,0.93,23.14,-1.86,322.5,245.4,0.48,0.78,
4515.185,0.0501,KILIT,15.73,16.1,1120.65,-190.37,-15.68,11.3,-2.42,-0.0,1105.3,-186.96,-12.25,-3.4,-10.7,-13.2,1109.68,-188.46,-12.7,16.37,-3.56,-0.43,-13.2,2.14,22.92,-2.08,325.7,246.0,-0.26,0.43,
4515.235,0.0502,KILIT,15.71,16.08,1121.18,-190.49,-15.68,11.09,-2.4,-0.0,1105.85,-187.07,-12.26,-3.4,-10.7,-13.2,1110.17,-189.14,-12.72,16.2,-4.13,-0.43,-13.2,2.09,22.9,-2.1,325.6,246.1,-0.62,1.0,
4515.287,0.052,KILIT,15.11,15.5,1121.73,-190.61,-15.68,10.9,-2.34,-0.0,1106.97,-187.33,-12.26,-2.5,-11.3,-12.8,1110.89,-188.79,-12.74,15.58,-4.05,-0.45,-12.8,1.41,24.01,-0.99,323.7,242.9,-0.31,0.5,
4515.337,0.0501,KILIT,15.68,16.05,1122.28,-190.72,-15.68,10.92,-2.34,-0.0,1106.97,-187.33,-12.26,-2.0,-11.3,-13.5,1111.56,-188.68,-12.76,15.97,-3.59,-0.48,-13.5,1.93,23.55,-1.45,325.2,244.2,-0.15,0.25,
4515.388,0.0507,KILIT,15.07,15.45,1122.83,-190.84,-15.68,10.9,-2.34,-0.0,1108.11,-187.58,-12.27,-0.6,-11.3,-14.2,1112.18,-188.82,-12.78,15.38,-3.42,-0.49,-14.2,2.08,24.02,-0.98,325.5,242.8,-0.16,0.25,
4515.44,0.0528,KILIT,15.24,15.61,1123.55,-190.99,-15.68,11.76,-2.49,-0.0,1108.67,-187.72,-12.28,-1.2,-11.2,-14.4,1113.11,-188.39,-12.8,15.61,-2.83,-0.5,-14.4,2.65,23.72,-1.28,327.1,243.7,0.23,0.37,
4515.491,0.0503,KILIT,14.63,15.02,1123.55,-190.99,-15.68,11.76,-2.49,-0.0,1109.26,-187.85,-12.29,-0.7,-10.7,-15.0,1113.18,-188.41,-12.82,15.2,-2.39,-0.51,-15.0,3.07,23.7,-1.3,328.2,243.7,0.23,0.37,
4515.543,0.0523,KILIT,14.75,15.13,1124.22,-191.14,-15.68,10.19,-2.16,-0.0,1109.82,-187.97,-12.3,0.4,-10.1,-15.9,1113.91,-188.62,-12.84,14.61,-2.17,-0.52,-12.4,3.54,23.01,-1.99,329.5,245.7,0.19,0.32,
4515.593,0.0501,KILIT,14.76,15.14,1124.83,-191.26,-15.68,10.77,-2.27,-0.0,1110.41,-188.11,-12.31,0.1,-9.4,-16.2,1114.67,-188.35,-12.86,14.58,-1.57,-0.53,-12.3,4.04,22.25,-2.75,330.9,247.9,0.46,0.75,
4515.643,0.0503,KILIT,14.79,15.16,1125.42,-191.39,-15.68,11.05,-2.35,-0.0,1110.97,-188.24,-12.32,0.6,-8.4,-16.6,1115.21,-189.09,-12.88,14.62,-2.18,-0.54,-12.3,4.27,21.22,-3.78,331.6,250.8,0.08,0.13,
4515.694,0.0503,KILIT,14.77,15.14,1125.99,-191.51,-15.68,11.15,-2.38,-0.0,1111.56,-188.37,-12.34,2.1,-7.4,-16.9,1115.77,-189.62,-12.9,14.62,-2.78,-0.54,-12.3,4.02,20.28,-4.72,331.0,253.6,-0.18,0.29,
4515.744,0.0501,KILIT,14.76,15.13,1126.56,-191.63,-15.68,11.23,-2.38,-0.0,1112.14,-188.51,-12.35,1.5,-6.2,-16.3,1116.52,-189.23,-12.91,15.16,-2.51,-0.56,-12.2,3.7,19.0,-6.0,330.2,257.4,0.17,0.27,
4515.794,0.0501,KILIT,15.34,15.69,1127.13,-191.76,-15.68,11.26,-2.4,-0.0,1112.14,-188.51,-12.35,2.2,-5.0,-15.5,1117.07,-189.81,-12.93,15.56,-2.96,-0.57,-12.2,2.68,17.36,-7.64,327.5,262.3,-0.12,0.2,
4515.844,0.0504,KILIT,14.71,15.08,1127.7,-191.88,-15.68,11.26,-2.41,-0.0,1113.32,-188.77,-12.38,3.4,-3.9,-15.0,1117.7,-190.0,-12.95,15.22,-3.46,-0.57,-15.0,1.84,16.68,-8.32,325.2,264.3,-0.16,0.26,
4515.895,0.0503,KILIT,14.68,15.05,1128.26,-191.99,-15.68,11.23,-2.38,-0.0,1113.9,-188.92,-12.4,2.5,-3.0,-14.6,1118.41,-189.72,-12.97,15.22,-2.85,-0.57,-14.6,1.85,15.68,-9.32,325.2,267.3,0.11,0.18,
4515.947,0.0526,KILIT,14.67,15.02,1128.82,-192.11,-15.68,11.06,-2.32,-0.0,1114.48,-189.03,-12.42,3.2,-2.4,-14.6,1119.17,-189.29,-12.99,15.31,-2.23,-0.57,-14.6,1.65,15.05,-9.95,324.7,269.2,0.47,0.77,
4515.997,0.0501,KILIT,14.83,15.18,1129.58,-192.28,-15.68,12.29,-2.63,-0.0,1115.08,-189.18,-12.43,4.0,-1.9,-15.1,1119.74,-190.69,-13.01,15.52,-2.8,-0.57,-12.1,2.04,14.44,-10.56,325.9,271.0,-0.31,0.51,
4516.047,0.0501,KILIT,14.93,15.28,1130.26,-192.42,-15.68,12.68,-2.71,-0.0,1115.66,-189.3,-12.45,2.7,-1.6,-15.9,1120.52,-190.71,-13.03,15.91,-3.25,-0.58,-12.1,3.19,13.97,-11.03,329.2,272.4,-0.22,0.36,
4516.097,0.0501,KILIT,14.97,15.31,1130.89,-192.56,-15.68,12.66,-2.71,-0.0,1116.25,-189.43,-12.47,4.2,-1.3,-16.6,1121.24,-190.78,-13.05,16.38,-3.63,-0.58,-12.1,3.56,13.69,-11.31,330.3,273.2,-0.17,0.28,
4516.148,0.0501,KILIT,14.98,15.31,1131.5,-192.69,-15.68,12.48,-2.67,-0.0,1116.85,-189.55,-12.49,3.6,-1.3,-16.9,1121.93,-190.89,-13.07,16.89,-3.93,-0.58,-12.1,3.98,13.6,-11.4,331.5,273.5,-0.15,0.24,
4516.198,0.0501,KILIT,14.98,15.31,1132.08,-192.81,-15.68,12.22,-2.62,-0.0,1117.43,-189.68,-12.51,2.8,-1.5,-16.8,1122.56,-191.11,-13.09,17.25,-4.41,-0.58,-12.1,4.09,13.66,-11.34,331.8,273.3,-0.2,0.33,
4516.248,0.0501,KILIT,14.96,15.29,1132.65,-192.94,-15.68,11.99,-2.57,-0.0,1118.02,-189.81,-12.52,4.0,-1.9,-16.5,1123.21,-191.25,-13.11,17.02,-4.28,-0.59,-12.1,3.48,14.1,-10.9,330.0,272.0,-0.2,0.33,
4516.298,0.0502,KILIT,14.94,15.26,1133.21,-193.06,-15.68,11.76,-2.53,-0.0,1118.61,-189.93,-12.54,2.0,-2.6,-15.8,1123.83,-191.46,-13.13,16.72,-4.42,-0.59,-12.1,3.24,14.59,-10.41,329.3,270.5,-0.25,0.41,
4516.349,0.0515,KILIT,14.32,14.66,1133.21,-193.06,-15.68,11.76,-2.53,-0.0,1119.21,-190.06,-12.56,2.3,-3.4,-14.7,1123.9,-191.48,-13.15,16.12,-4.26,-0.59,-14.7,2.01,15.78,-9.22,325.7,267.0,-0.25,0.41,
4516.402,0.053,KILIT,14.29,14.62,1133.77,-193.17,-15.68,9.83,-2.11,-0.0,1119.8,-190.19,-12.58,1.9,-4.5,-14.4,1124.56,-191.45,-13.17,15.54,-3.99,-0.59,-14.4,1.82,16.81,-8.19,325.1,264.0,-0.15,0.24,
4516.454,0.0514,KILIT,14.26,14.59,1134.33,-193.29,-15.68,10.15,-2.16,-0.0,1120.39,-190.31,-12.6,0.1,-5.4,-14.6,1125.25,-191.35,-13.19,15.12,-3.54,-0.59,-14.6,2.56,17.59,-7.41,327.2,261.6,0.0,0.01,
4516.504,0.0501,KILIT,14.22,14.55,1134.89,-193.41,-15.68,10.45,-2.23,-0.0,1120.98,-190.44,-12.62,0.6,-6.1,-14.6,1125.89,-191.43,-13.21,14.82,-3.02,-0.59,-14.6,2.42,18.26,-6.74,326.7,259.6,0.04,0.07,
4516.556,0.0518,KILIT,14.17,14.49,1135.45,-193.53,-15.68,10.53,-2.27,-0.0,1121.59,-190.57,-12.64,-0.5,-6.6,-15.2,1126.37,-192.24,-13.23,14.59,-3.59,-0.59,-12.1,3.39,18.67,-6.33,329.4,258.4,-0.4,0.65,
4516.606,0.0501,KILIT,14.14,14.46,1136.0,-193.65,-15.68,10.71,-2.3,-0.0,1122.18,-190.69,-12.66,-1.3,-6.8,-16.3,1127.09,-191.95,-13.25,14.77,-3.2,-0.59,-12.1,4.78,18.74,-6.26,333.3,258.1,-0.13,0.21,
4516.656,0.0502,KILIT,14.7,15.01,1136.56,-193.77,-15.68,10.81,-2.32,-0.0,1122.18,-190.69,-12.66,-0.6,-6.6,-16.7,1127.73,-192.03,-13.27,15.37,-3.28,-0.59,-12.1,4.94,18.13,-6.87,333.8,259.9,-0.09,0.15,
4516.706,0.0501,KILIT,14.05,14.36,1137.11,-193.89,-15.68,10.85,-2.34,-0.0,1123.37,-190.94,-12.71,-1.6,-6.1,-16.8,1128.3,-192.37,-13.29,14.87,-3.61,-0.58,-12.1,5.33,17.87,-7.13,334.9,260.6,-0.22,0.37,
4516.756,0.0501,KILIT,14.62,14.91,1137.66,-194.01,-15.68,10.91,-2.33,-0.0,1123.37,-190.94,-12.71,-2.0,-5.4,-16.8,1129.05,-191.95,-13.31,15.39,-3.32,-0.59,-12.1,5.4,16.69,-8.31,335.2,264.1,0.13,0.21,
4516.806,0.0501,KILIT,13.94,14.24,1138.21,-194.12,-15.68,10.92,-2.33,-0.0,1124.58,-191.2,-12.75,-1.0,-4.6,-16.2,1129.65,-192.17,-13.33,15.08,-2.81,-0.58,-12.1,4.47,16.38,-8.62,332.6,265.1,0.08,0.12,
4516.857,0.0503,KILIT,13.89,14.19,1138.76,-194.25,-15.68,10.92,-2.36,-0.0,1125.18,-191.32,-12.78,-2.1,-3.8,-15.3,1130.11,-193.04,-13.35,14.9,-3.38,-0.58,-12.2,3.77,15.46,-9.54,330.7,267.9,-0.4,0.65,
4516.907,0.0502,KILIT,14.45,14.73,1139.3,-194.36,-15.68,10.9,-2.33,-0.0,1125.18,-191.32,-12.78,-1.6,-3.1,-14.6,1130.88,-192.43,-13.37,15.48,-3.21,-0.58,-14.6,2.89,14.37,-10.63,328.3,271.2,0.07,0.12,
4516.959,0.0522,KILIT,13.77,14.07,1139.86,-194.48,-15.68,10.82,-2.3,-0.0,1126.39,-191.59,-12.82,-0.4,-2.4,-14.5,1131.58,-192.23,-13.39,15.32,-2.6,-0.57,-14.5,2.53,14.11,-10.89,327.3,272.0,0.29,0.47,
4517.009,0.0501,KILIT,14.34,14.62,1140.41,-194.59,-15.68,10.89,-2.31,-0.0,1126.39,-191.59,-12.82,-1.6,-1.8,-14.6,1132.19,-192.45,-13.41,15.91,-2.51,-0.58,-14.6,2.9,13.0,-12.0,328.4,275.4,0.24,0.39,
4517.061,0.0519,KILIT,14.28,14.55,1140.96,-194.71,-15.68,10.79,-2.28,-0.0,1127.0,-191.71,-12.85,-0.1,-1.3,-14.9,1132.85,-192.39,-13.42,16.41,-2.14,-0.58,-14.9,2.81,12.51,-12.49,328.2,276.9,0.36,0.59,
4517.111,0.0502,KILIT,14.22,14.5,1141.51,-194.82,-15.68,10.83,-2.29,-0.0,1127.6,-191.85,-12.87,0.5,-1.1,-15.9,1133.43,-192.7,-13.44,16.48,-2.63,-0.57,-12.1,3.73,12.31,-12.69,330.9,277.4,0.25,0.4,
4517.161,0.0501,KILIT,14.15,14.42,1142.06,-194.94,-15.68,10.87,-2.31,-0.0,1128.22,-191.98,-12.89,0.5,-1.1,-15.9,1133.99,-193.12,-13.46,16.28,-3.2,-0.57,-12.1,3.72,12.28,-12.72,330.8,277.5,0.06,0.1,
4517.212,0.0502,KILIT,13.5,13.78,1142.61,-195.07,-15.68,10.94,-2.38,-0.0,1129.41,-192.24,-12.94,2.4,-1.0,-16.9,1134.37,-194.41,-13.48,15.92,-3.68,-0.57,-12.1,4.29,12.66,-12.34,332.5,276.3,-0.68,1.11,
4517.262,0.0501,KILIT,14.06,14.33,1143.16,-195.18,-15.68,10.93,-2.34,-0.0,1129.41,-192.24,-12.94,2.4,-1.0,-16.9,1135.22,-193.45,-13.5,16.39,-3.32,-0.56,-12.1,4.33,12.21,-12.79,332.6,277.7,0.02,0.04,
4517.313,0.0511,KILIT,13.97,14.23,1143.68,-195.29,-15.68,10.73,-2.29,-0.0,1130.02,-192.38,-12.96,1.8,-1.4,-16.9,1135.84,-193.49,-13.52,16.12,-2.89,-0.56,-12.0,4.49,12.56,-12.44,333.1,276.6,0.08,0.13,
4517.363,0.0501,KILIT,13.91,14.16,1144.22,-195.41,-15.68,10.71,-2.31,-0.0,1130.62,-192.5,-12.99,2.4,-1.9,-16.9,1136.29,-194.32,-13.54,15.96,-3.47,-0.56,-12.1,4.3,13.03,-11.97,332.5,275.2,-0.37,0.61,
4517.413,0.0501,KILIT,13.85,14.1,1144.76,-195.53,-15.68,10.76,-2.31,-0.0,1131.22,-192.63,-13.01,3.3,-2.3,-16.1,1137.0,-194.03,-13.56,15.83,-3.6,-0.55,-12.1,3.28,13.42,-11.58,329.5,274.1,-0.1,0.17,
4517.463,0.0501,KILIT,13.79,14.04,1145.31,-195.65,-15.68,10.83,-2.34,-0.0,1131.83,-192.76,-13.03,1.8,-3.0,-14.8,1137.54,-194.55,-13.58,15.71,-4.19,-0.55,-14.8,2.3,13.95,-11.05,326.6,272.5,-0.35,0.57,
4517.513,0.0503,KILIT,13.72,13.97,1145.86,-195.76,-15.68,10.84,-2.34,-0.0,1132.44,-192.89,-13.05,2.7,-3.5,-14.8,1138.22,-194.39,-13.6,15.78,-3.71,-0.55,-14.8,2.05,14.46,-10.54,325.9,271.0,-0.17,0.27,
4517.564,0.0507,KILIT,13.67,13.91,1146.41,-195.89,-15.68,10.85,-2.36,-0.0,1133.05,-193.02,-13.08,2.2,-3.6,-14.7,1138.76,-194.92,-13.62,15.65,-4.31,-0.55,-14.7,2.06,14.46,-10.54,325.9,271.0,-0.42,0.68,
4517.614,0.0501,KILIT,13.6,13.84,1146.96,-196.0,-15.68,10.87,-2.33,-0.0,1133.66,-193.15,-13.1,1.6,-4.0,-15.2,1139.57,-194.16,-13.64,15.77,-3.72,-0.54,-12.1,2.73,14.82,-10.18,327.8,269.9,0.15,0.25,
4517.664,0.0501,KILIT,13.56,13.8,1147.52,-196.12,-15.68,10.97,-2.32,-0.0,1134.26,-193.27,-13.12,1.6,-4.0,-15.2,1140.31,-193.77,-13.66,15.92,-3.14,-0.54,-12.1,2.71,14.77,-10.23,327.8,270.0,0.49,0.8,
4517.714,0.0501,KILIT,13.51,13.74,1148.08,-196.24,-15.68,11.01,-2.35,-0.0,1134.87,-193.4,-13.15,0.3,-3.7,-16.4,1140.8,-194.54,-13.68,16.1,-3.02,-0.53,-12.1,4.26,14.32,-10.68,332.2,271.3,0.08,0.14,
4517.765,0.0502,KILIT,13.44,13.67,1148.63,-196.35,-15.68,10.99,-2.35,-0.0,1135.49,-193.53,-13.17,-0.5,-3.7,-16.7,1141.44,-194.61,-13.7,16.07,-2.85,-0.53,-12.1,4.76,14.23,-10.77,333.7,271.5,0.13,0.21,
4517.815,0.0505,KILIT,12.81,13.05,1148.63,-196.35,-15.68,10.99,-2.35,-0.0,1136.1,-193.67,-13.19,0.3,-3.7,-16.9,1141.51,-194.62,-13.72,15.47,-2.74,-0.53,-12.1,4.8,14.71,-10.29,333.7,270.1,0.13,0.21,
