t_ros,dt,gecikme_s,bbox,bbox_w,bbox_h,olcek_ham,eps_deg,duzeltme,olcek,kalite,guven,u_nisan_x,u_nisan_y,u_nisan_z,u_govde_x,u_govde_y,u_govde_z,yaw_hata_deg,pitch_hata_deg,yatay_bilesen,azimut_kalite,yaw_adim_deg,yatay_lead_deg,az_rate_dps,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,v_doygun,yaw_doygun,durum,eksen_disi_deg,govde_yukselti_deg,menzil_kestirim_m,menzil_gercek_m,menzil_ham_m,menzil_red,menzil_kaynak,alt_faz,en_yakin_m,kapanma_hizi_ms,mod,gorev_faz,aktif_klemp,menzil_rate_ms,kapanma_bileseni_ms,vhk_x,vhk_y,vhk_z,lead_aktif,pitch_body_deg,kamera_dunya_pitch_deg,pn_dikey_deg,coalt_deg,los_elev_deg,los_elev_rate_dps,gama_deg,kadraj_hata_deg,kadraj_duz_deg,gercek_yaw_deg,gercek_elev_deg,gercek_menzil_ham_m,gercek_u_px,gercek_v_px,gercek_onde,gercek_kadraj_ici,bbox_yaw_sapma_deg,bbox_elev_sapma_deg,bbox_menzil_sapma_m,yapilandirma
110.088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.677,1.677,0,gz,,1.68,,,,,,,,,,,,,,,,,,,,6.21,-66.62,1.866,,,0,0,,,,"ALGI=bbox,GT=off,KILIT_BYPASS=off,TRACKER=off,LOCK=off,V_KAPANMA=25.0,V_YAKLASMA=20.0,PN_YATAY=0.6,GPS_RANGE=6.5,IVME=4.0/10.0,FLYPAST=8.0/1.5"
110.122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.677,1.677,0,gz,,1.68,-0.0,,,,,,,,,,,,,,,,,,,47.0,-87.31,1.682,,,0,0,,,,
110.154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.656,1.656,0,gz,,1.66,0.68,4,,,,,,,,,,,,,,,,,,2.72,-69.58,1.802,,,0,0,,,,
110.188,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.629,1.629,0,gz,,1.63,0.78,4,,,,,,,,,,,,,,,,,,9.27,-73.98,1.713,,,0,0,,,,
110.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.616,1.616,0,gz,,1.62,0.42,4,,,,,,,,,,,,,,,,,,9.6,-79.44,1.648,,,0,0,,,,
110.254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.606,1.606,0,gz,,1.61,0.3,4,,,,,,,,,,,,,,,,,,163.29,-74.24,1.608,,,0,0,,,,
110.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.605,1.605,0,gz,,1.6,0.03,4,,,,,,,,,,,,,,,,,,20.3,-84.47,1.587,,,0,0,,,,
110.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.613,1.613,0,gz,,1.6,-0.25,4,,,,,,,,,,,,,,,,,,103.83,-86.09,1.533,,,0,0,,,,
110.352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.617,1.617,0,gz,,1.6,-0.13,4,,,,,,,,,,,,,,,,,,149.39,-83.73,1.47,,,0,0,,,,
110.386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.643,1.643,0,gz,,1.6,-0.75,4,,,,,,,,,,,,,,,,,,165.89,-77.12,1.429,,,0,0,,,,
110.418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.668,1.668,0,gz,,1.6,-0.79,4,,,,,,,,,,,,,,,,,,175.39,-50.13,1.63,,,0,0,,,,
110.452,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.693,1.693,0,gz,,1.6,-0.72,4,,,,,,,,,,,,,,,,,,171.72,-69.29,1.416,,,0,0,,,,
110.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.719,1.719,0,gz,,1.6,-0.84,4,,,,,,,,,,,,,,,,,,173.15,-63.12,1.398,,,0,0,,,,
110.518,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.781,1.781,0,gz,,1.6,-1.81,4,,,,,,,,,,,,,,,,,,178.48,-38.78,1.691,,,0,0,,,,
110.55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.808,1.808,0,gz,,1.6,-0.83,4,,,,,,,,,,,,,,,,,,174.3,-40.08,1.542,,,0,0,,,,
110.584,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.894,1.894,0,gz,,1.6,-2.55,4,,,,,,,,,,,,,,,,,,178.55,-33.86,1.587,,,0,0,,,,
110.616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.932,1.932,0,gz,,1.6,-1.19,4,,,,,,,,,,,,,,,,,,179.68,-52.9,1.275,,,0,0,,,,
110.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,1.99,1.99,0,gz,,1.6,-1.69,4,,,,,,,,,,,,,,,,,,178.74,-34.97,1.465,,,0,0,,,,
110.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.061,2.061,0,gz,,1.6,-2.21,4,,,,,,,,,,,,,,,,,,-178.7,-28.66,1.507,,,0,0,,,,
110.716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.139,2.139,0,gz,,1.6,-2.29,4,,,,,,,,,,,,,,,,,,178.92,-22.09,1.562,,,0,0,,,,
110.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.196,2.196,0,gz,,1.6,-1.79,4,,,,,,,,,,,,,,,,,,-179.65,-16.77,1.623,,,0,0,,,,
110.782,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.287,2.287,0,gz,,1.6,-2.68,4,,,,,,,,,,,,,,,,,,-178.44,-12.23,1.681,,,0,0,,,,
110.814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.348,2.348,0,gz,,1.6,-1.91,4,,,,,,,,,,,,,,,,,,-178.28,-7.62,1.731,,,0,0,,,,
110.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.421,2.421,0,gz,,1.6,-1.11,4,,,,,,,,,,,,,,,,,,-178.47,-3.11,1.801,,,0,0,,,,
110.914,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.472,2.472,0,gz,,1.6,-1.5,4,,,,,,,,,,,,,,,,,,-178.4,0.67,1.87,,,0,0,,,,
110.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.552,2.552,0,gz,,1.6,-2.51,4,,,,,,,,,,,,,,,,,,-178.58,3.66,1.902,,,0,0,,,,
