t_ros,dt,gecikme_s,bbox,bbox_w,bbox_h,olcek_ham,eps_deg,duzeltme,olcek,kalite,guven,u_nisan_x,u_nisan_y,u_nisan_z,u_govde_x,u_govde_y,u_govde_z,yaw_hata_deg,pitch_hata_deg,yatay_bilesen,azimut_kalite,yaw_adim_deg,yatay_lead_deg,az_rate_dps,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,v_doygun,yaw_doygun,durum,eksen_disi_deg,govde_yukselti_deg,menzil_kestirim_m,menzil_gercek_m,menzil_ham_m,menzil_red,menzil_kaynak,alt_faz,en_yakin_m,kapanma_hizi_ms,mod,gorev_faz,aktif_klemp,menzil_rate_ms,kapanma_bileseni_ms,vhk_x,vhk_y,vhk_z,lead_aktif,pitch_body_deg,kamera_dunya_pitch_deg,pn_dikey_deg,coalt_deg,los_elev_deg,los_elev_rate_dps,gama_deg,kadraj_hata_deg,kadraj_duz_deg,gercek_yaw_deg,gercek_elev_deg,gercek_menzil_ham_m,gercek_u_px,gercek_v_px,gercek_onde,gercek_kadraj_ici,bbox_yaw_sapma_deg,bbox_elev_sapma_deg,bbox_menzil_sapma_m,yapilandirma
59.368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.372,2.372,0,gz,,2.37,,,,,,,,,,,,,,,,,,,,-10.77,-68.68,2.538,,,0,0,,,,"ALGI=bbox,GT=off,KILIT_BYPASS=off,TRACKER=off,LOCK=off,V_KAPANMA=25.0,V_YAKLASMA=20.0,PN_YATAY=0.6,GPS_RANGE=6.5,IVME=4.0/10.0,FLYPAST=8.0/1.5"
59.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.366,2.366,0,gz,,2.37,0.18,,,,,,,,,,,,,,,,,,,-10.77,-68.68,2.538,,,0,0,,,,
59.434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.355,2.355,0,gz,,2.35,0.33,,,,,,,,,,,,,,,,,,,-17.47,-70.76,2.495,,,0,0,,,,
59.466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.348,2.348,0,gz,,2.35,0.23,,,,,,,,,,,,,,,,,,,-15.4,-74.32,2.448,,,0,0,,,,
59.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.344,2.344,0,gz,,2.34,0.11,,,,,,,,,,,,,,,,,,,-26.56,-76.59,2.42,,,0,0,,,,
59.532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.344,2.344,0,gz,,2.34,0.01,,,,,,,,,,,,,,,,,,,-152.61,-82.78,2.336,,,0,0,,,,
59.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.345,2.345,0,gz,,2.34,-0.04,,,,,,,,,,,,,,,,,,,-30.82,-81.15,2.391,,,0,0,,,,
59.598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.35,2.35,0,gz,,2.34,-0.16,,,,,,,,,,,,,,,,,,,-59.52,-83.13,2.357,,,0,0,,,,
59.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.36,2.36,0,gz,,2.34,-0.3,,,,,,,,,,,,,,,,,,,-88.45,-84.03,2.337,,,0,0,,,,
59.664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.379,2.379,0,gz,,2.34,-0.59,,,,,,,,,,,,,,,,,,,-136.06,-82.79,2.307,,,0,0,,,,
59.698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.401,2.401,0,gz,,2.34,-0.66,,,,,,,,,,,,,,,,,,,-143.48,-77.51,2.289,,,0,0,,,,
59.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.417,2.417,0,gz,,2.34,-0.49,,,,,,,,,,,,,,,,,,,-157.2,-75.13,2.277,,,0,0,,,,
59.764,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.451,2.451,0,gz,,2.34,-1.0,,,,,,,,,,,,,,,,,,,-167.3,-57.82,2.42,,,0,0,,,,
59.796,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.468,2.468,0,gz,,2.34,-0.53,,,,,,,,,,,,,,,,,,,-156.06,-70.15,2.29,,,0,0,,,,
59.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.507,2.507,0,gz,,2.34,-1.16,,,,,,,,,,,,,,,,,,,-165.04,-65.71,2.294,,,0,0,,,,
59.862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.531,2.531,0,gz,,2.34,-0.75,,,,,,,,,,,,,,,,,,,-162.94,-60.09,2.302,,,0,0,,,,
59.896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.581,2.581,0,gz,,2.34,-1.45,,,,,,,,,,,,,,,,,,,-168.16,-56.76,2.316,,,0,0,,,,
59.928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.61,2.61,0,gz,,2.34,-0.92,,,,,,,,,,,,,,,,,,,-174.2,-41.58,2.574,,,0,0,,,,
59.962,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.677,2.677,0,gz,,2.34,-1.97,,,,,,,,,,,,,,,,,,,-171.24,-49.24,2.345,,,0,0,,,,
59.994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.724,2.724,0,gz,,2.34,-1.46,,,,,,,,,,,,,,,,,,,-173.43,-44.96,2.379,,,0,0,,,,
60.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.794,2.794,0,gz,,2.34,-2.06,,,,,,,,,,,,,,,,,,,-174.45,-41.37,2.421,,,0,0,,,,
60.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.848,2.848,0,gz,,2.34,-0.81,,,,,,,,,,,,,,,,,,,-177.85,-38.65,2.449,,,0,0,,,,
60.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.876,2.876,0,gz,,2.34,-0.89,4,,,,,,,,,,,,,,,,,,-176.3,-25.27,2.812,,,0,0,,,,
60.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.933,2.933,0,gz,,2.34,-1.66,4,,,,,,,,,,,,,,,,,,-177.66,-30.6,2.555,,,0,0,,,,
60.192,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.959,2.959,0,gz,,2.34,-0.83,4,,,,,,,,,,,,,,,,,,-177.81,-19.31,2.94,,,0,0,,,,
60.226,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.005,3.005,0,gz,,2.34,-1.34,4,,,,,,,,,,,,,,,,,,-176.47,-28.13,2.597,,,0,0,,,,
60.258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.047,3.047,0,gz,,2.34,-1.32,4,,,,,,,,,,,,,,,,,,-176.73,-26.92,2.62,,,0,0,,,,
60.292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.063,3.063,0,gz,,2.34,-0.49,4,,,,,,,,,,,,,,,,,,-174.5,-24.05,2.65,,,0,0,,,,
60.324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.097,3.097,0,gz,,2.34,-1.04,4,,,,,,,,,,,,,,,,,,-178.37,-13.46,3.059,,,0,0,,,,
60.358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.118,3.118,0,gz,,2.34,-0.61,4,,,,,,,,,,,,,,,,,,-176.15,-19.87,2.707,,,0,0,,,,
60.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.14,3.14,0,gz,,2.34,-0.68,4,,,,,,,,,,,,,,,,,,-175.82,-18.93,2.733,,,0,0,,,,
60.424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.166,3.166,0,gz,,2.34,-0.77,4,,,,,,,,,,,,,,,,,,-175.17,-18.32,2.745,,,0,0,,,,
60.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.18,3.18,0,gz,,2.34,-0.44,4,,,,,,,,,,,,,,,,,,-174.99,-17.03,2.758,,,0,0,,,,
