t_ros,dt,gecikme_s,bbox,bbox_w,bbox_h,olcek_ham,eps_deg,duzeltme,olcek,kalite,guven,u_nisan_x,u_nisan_y,u_nisan_z,u_govde_x,u_govde_y,u_govde_z,yaw_hata_deg,pitch_hata_deg,yatay_bilesen,azimut_kalite,yaw_adim_deg,yatay_lead_deg,az_rate_dps,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,v_doygun,yaw_doygun,durum,eksen_disi_deg,govde_yukselti_deg,menzil_kestirim_m,menzil_gercek_m,menzil_ham_m,menzil_red,menzil_kaynak,alt_faz,en_yakin_m,kapanma_hizi_ms,mod,gorev_faz,aktif_klemp,menzil_rate_ms,kapanma_bileseni_ms,vhk_x,vhk_y,vhk_z,lead_aktif,pitch_body_deg,kamera_dunya_pitch_deg,pn_dikey_deg,coalt_deg,los_elev_deg,los_elev_rate_dps,gama_deg,kadraj_hata_deg,kadraj_duz_deg,gercek_yaw_deg,gercek_elev_deg,gercek_menzil_ham_m,gercek_u_px,gercek_v_px,gercek_onde,gercek_kadraj_ici,bbox_yaw_sapma_deg,bbox_elev_sapma_deg,bbox_menzil_sapma_m,yapilandirma
78.606,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.572,2.572,0,gz,,2.57,,,,,,,,,,,,,,,,,,,,9.03,-72.2,2.696,,,0,0,,,,"ALGI=bbox,GT=off,KILIT_BYPASS=off,TRACKER=off,LOCK=off,V_KAPANMA=25.0,V_YAKLASMA=20.0,PN_YATAY=0.6,GPS_RANGE=6.5,IVME=4.0/10.0,FLYPAST=8.0/1.5"
78.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.58,2.58,0,gz,,2.57,-0.22,,,,,,,,,,,,,,,,,,,7.06,-75.49,2.665,,,0,0,,,,
78.672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.583,2.583,0,gz,,2.57,-0.11,,,,,,,,,,,,,,,,,,,102.97,-85.55,2.582,,,0,0,,,,
78.706,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.601,2.601,0,gz,,2.57,-0.51,,,,,,,,,,,,,,,,,,,16.3,-77.81,2.645,,,0,0,,,,
78.738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.614,2.614,0,gz,,2.57,-0.43,,,,,,,,,,,,,,,,,,,14.22,-80.92,2.63,,,0,0,,,,
78.772,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.631,2.631,0,gz,,2.57,-0.48,,,,,,,,,,,,,,,,,,,33.67,-84.45,2.618,,,0,0,,,,
78.804,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.658,2.658,0,gz,,2.57,-0.85,,,,,,,,,,,,,,,,,,,82.69,-85.88,2.607,,,0,0,,,,
78.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.687,2.687,0,gz,,2.57,-0.87,,,,,,,,,,,,,,,,,,,167.83,-74.16,2.661,,,0,0,,,,
78.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.724,2.724,0,gz,,2.57,-1.15,,,,,,,,,,,,,,,,,,,143.84,-81.26,2.605,,,0,0,,,,
78.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.749,2.749,0,gz,,2.57,-0.38,,,,,,,,,,,,,,,,,,,171.35,-66.04,2.718,,,0,0,,,,
78.97,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.777,2.777,0,gz,,2.57,-0.83,,,,,,,,,,,,,,,,,,,164.63,-77.94,2.604,,,0,0,,,,
79.002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.818,2.818,0,gz,,2.57,-1.26,,,,,,,,,,,,,,,,,,,161.95,-72.55,2.613,,,0,0,,,,
79.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.866,2.866,0,gz,,2.57,-1.43,,,,,,,,,,,,,,,,,,,167.41,-69.35,2.626,,,0,0,,,,
79.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.916,2.916,0,gz,,2.57,-1.56,,,,,,,,,,,,,,,,,,,167.94,-65.54,2.641,,,0,0,,,,
79.102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.957,2.957,0,gz,,2.57,-1.21,,,,,,,,,,,,,,,,,,,168.66,-61.0,2.667,,,0,0,,,,
79.134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,2.996,2.996,0,gz,,2.57,-1.2,4,,,,,,,,,,,,,,,,,,172.74,-56.53,2.697,,,0,0,,,,
79.168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.056,3.056,0,gz,,2.57,-1.77,4,,,,,,,,,,,,,,,,,,172.6,-52.98,2.726,,,0,0,,,,
79.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.109,3.109,0,gz,,2.57,-1.65,4,,,,,,,,,,,,,,,,,,176.68,-40.53,3.044,,,0,0,,,,
79.234,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.154,3.154,0,gz,,2.57,-1.32,4,,,,,,,,,,,,,,,,,,177.25,-50.24,2.771,,,0,0,,,,
79.266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.182,3.182,0,gz,,2.57,-0.9,4,,,,,,,,,,,,,,,,,,173.8,-46.11,2.813,,,0,0,,,,
79.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tespit_yok,,,,3.258,3.258,0,gz,,2.57,-2.23,4,,,,,,,,,,,,,,,,,,178.55,-42.16,2.855,,,0,0,,,,
79.332,,0.0652,50|384|73|391,23.0,7.0,23.0,4.37,1.0029,22.93,0.621,0.628,-0.75901,0.43079,0.48818,0.6245,-0.75901,0.18412,-50.55,-10.61,0.9829,1.0,-3.0,0.0,0.0,15.37,-12.76,0.89,-11.1,0,1,ok,60.78,-10.61,12.25,3.291,3.291,0,gz,terminal,2.57,-1.03,4,STRIKE,mutlak_tavan,0.0,25.0,16.23,-3.22,0.2,1,21.03,46.01,0.0,10.0,4.37,0.0,-13.43,-35.61,-17.8,174.34,-38.43,2.9,,,0,0,135.11,27.82,9.35,
79.366,,,,,,,,,,,,,,,,,,,,,,,,,15.371055708496202,-12.764955321941994,0.8868833266733362,-11.1,,,kor_dalis,,,,3.35,3.35,0,gz,,2.57,-1.73,4,,,,,,,,,,,,,,,,,,175.66,-27.48,3.275,,,0,0,,,,
79.398,,,,,,,,,,,,,,,,,,,,,,,,,15.371055708496202,-12.764955321941994,0.8868833266733362,-11.1,,,kor_dalis,,,,3.393,3.393,0,gz,,2.57,-1.35,4,,,,,,,,,,,,,,,,,,174.19,-34.31,2.941,,,0,0,,,,
79.432,,,,,,,,,,,,,,,,,,,,,,,,,15.371055708496202,-12.764955321941994,0.8868833266733362,-11.1,,,kor_dalis,,,,3.453,3.453,0,gz,,2.57,-1.76,4,,,,,,,,,,,,,,,,,,174.17,-33.22,2.977,,,0,0,,,,
79.464,,,,,,,,,,,,,,,,,,,,,,,,,15.371055708496202,-12.764955321941994,0.8868833266733362,-11.1,,,kor_dalis,,,,3.481,3.481,0,gz,,2.57,-0.88,4,,,,,,,,,,,,,,,,,,176.89,-30.15,3.029,,,0,0,,,,
79.498,,,,,,,,,,,,,,,,,,,,,,,,,15.371055708496202,-12.764955321941994,0.8868833266733362,-11.1,,,kor_dalis,,,,3.533,3.533,0,gz,,2.57,-1.54,4,,,,,,,,,,,,,,,,,,176.25,-28.45,3.075,,,0,0,,,,
79.53,,,,,,,,,,,,,,,,,,,,,,,,,15.371055708496202,-12.764955321941994,0.8868833266733362,-11.1,,,kor_dalis,,,,3.558,3.558,0,gz,,2.57,-0.76,4,,,,,,,,,,,,,,,,,,178.76,-19.53,3.483,,,0,0,,,,
