t_ros,dt,gecikme_s,bbox,bbox_w,bbox_h,olcek_ham,eps_deg,duzeltme,olcek,kalite,guven,u_nisan_x,u_nisan_y,u_nisan_z,u_govde_x,u_govde_y,u_govde_z,yaw_hata_deg,pitch_hata_deg,yatay_bilesen,azimut_kalite,yaw_adim_deg,yatay_lead_deg,az_rate_dps,vx_cmd,vy_cmd,vz_cmd,yaw_cmd_deg,v_doygun,yaw_doygun,durum,eksen_disi_deg,govde_yukselti_deg,menzil_kestirim_m,menzil_gercek_m,menzil_ham_m,menzil_red,menzil_kaynak,alt_faz,en_yakin_m,kapanma_hizi_ms,mod,gorev_faz,aktif_klemp,menzil_rate_ms,kapanma_bileseni_ms,vhk_x,vhk_y,vhk_z,lead_aktif,pitch_body_deg,kamera_dunya_pitch_deg,pn_dikey_deg,coalt_deg,los_elev_deg,los_elev_rate_dps,gama_deg,kadraj_hata_deg,kadraj_duz_deg,gercek_yaw_deg,gercek_elev_deg,gercek_menzil_ham_m,gercek_u_px,gercek_v_px,gercek_onde,gercek_kadraj_ici,bbox_yaw_sapma_deg,bbox_elev_sapma_deg,bbox_menzil_sapma_m,yapilandirma
56.794,,0.0774,299|310|341|321,42.0,11.0,42.0,3.25,1.0016,41.93,1.0,0.832,0.0,0.41054,0.91184,0.99991,0.0,-0.01329,0.0,0.76,0.9999,1.0,0.0,0.0,0.0,19.45,-4.64,-0.25,-14.4,0,0,ok,24.24,0.76,6.7,5.676,5.676,0,gz,terminal,5.68,,,STRIKE,mutlak_tavan,0.0,25.0,13.55,-2.8,0.02,1,2.49,27.48,0.0,10.0,3.25,0.0,-8.87,-24.24,-12.12,0.95,2.8,5.66,323.0,308.0,1,1,-0.95,-2.04,1.04,"ALGI=bbox,GT=off,KILIT_BYPASS=off,TRACKER=off,LOCK=off,V_KAPANMA=25.0,V_YAKLASMA=20.0,PN_YATAY=0.6,GPS_RANGE=6.5,IVME=4.0/10.0,FLYPAST=8.0/1.5"
56.826,0.03200000000000358,0.0554,296|306|338|318,42.0,12.0,42.0,4.12,1.0026,41.89,1.0,0.839,-0.01653,0.39669,0.9178,0.99946,-0.01653,-0.02835,-0.95,1.62,0.9996,1.0,-1.14,-3.17,-5.3,19.42,-4.77,-0.57,-15.5,1,0,ok,23.39,1.62,6.71,5.677,5.677,0,gz,terminal,5.68,-0.04,,STRIKE,mutlak_tavan,0.02,25.0,13.57,-2.81,0.01,1,2.49,27.48,2.95,10.0,3.6,4.9,-5.14,-23.38,-11.69,1.26,2.32,6.226,324.0,309.6,1,1,-2.21,-0.7,0.48,
56.86,0.03399999999999892,0.0549,307|302|349|313,42.0,11.0,42.0,5.43,1.0045,41.81,1.0,0.848,0.04451,0.37278,0.92685,0.99756,0.04451,-0.05385,2.55,3.09,0.9985,1.0,3.06,0.43,0.7,19.37,-4.64,-0.91,-13.5,1,1,ok,22.05,3.09,6.72,5.679,5.679,0,gz,terminal,5.68,-0.05,,STRIKE,mutlak_tavan,0.04,25.0,13.57,-2.81,0.02,1,2.29,27.28,7.46,10.0,4.33,12.4,0.84,-21.91,-10.96,3.76,2.42,6.224,331.8,309.3,1,1,-1.21,0.67,0.5,
56.892,0.03200000000000358,0.0674,311|303|352|314,41.0,11.0,41.0,6.28,1.006,40.76,1.0,0.847,0.06102,0.37723,0.92411,0.99695,0.06102,-0.04866,3.5,2.79,0.9988,1.0,2.88,18.44,30.7,19.38,-4.51,-1.23,-9.7,1,1,ok,22.47,2.79,6.9,5.682,5.682,0,gz,terminal,5.68,-0.08,,STRIKE,mutlak_tavan,0.06,25.0,13.57,-2.79,0.0,1,3.46,28.46,10.69,10.0,5.11,17.8,4.69,-22.21,-11.11,-0.27,1.21,6.26,319.1,313.4,1,1,3.78,1.58,0.64,
56.926,0.03399999999999892,0.0715,299|306|339|318,40.0,12.0,40.0,3.47,1.0018,39.93,1.0,0.86,-0.00551,0.39674,0.91791,0.99958,-0.00551,-0.02836,-0.32,1.63,0.9996,1.0,-0.38,6.87,11.4,19.41,-4.38,-0.89,-13.4,1,0,ok,23.38,1.63,7.04,5.686,5.686,0,gz,terminal,5.68,-0.13,,STRIKE,mutlak_tavan,0.09,25.0,13.58,-2.82,-0.02,1,1.86,26.83,0.65,10.0,4.45,1.1,-6.58,-23.37,-11.69,0.4,2.8,6.26,321.2,308.0,1,1,-0.71,-1.18,0.78,
56.958,0.031999999999996476,0.09,297|302|336|314,39.0,12.0,39.0,2.93,1.0013,38.95,1.0,0.846,-0.02223,0.37784,0.9256,0.99856,-0.02223,-0.04874,-1.28,2.79,0.9988,1.0,-1.53,-17.44,-29.1,19.37,-4.5,-0.57,-19.1,1,0,ok,22.24,2.79,7.22,5.691,5.691,0,gz,terminal,5.68,-0.16,,STRIKE,mutlak_tavan,0.12,25.0,13.58,-2.89,-0.05,1,0.21,25.17,-4.78,10.0,3.85,-8.0,-12.04,-22.21,-11.1,5.17,4.19,6.286,336.1,303.2,1,1,-6.45,-1.4,0.93,
57.024,0.0660000000000025,0.0626,316|296|355|308,39.0,12.0,39.0,6.13,1.0057,38.78,1.0,0.874,0.08409,0.34758,0.93387,0.99327,0.08409,-0.07966,4.84,4.57,0.9968,1.0,5.81,-1.32,-2.2,19.4,-4.7,-1.23,-9.0,1,0,ok,20.95,4.57,7.25,5.696,5.696,0,gz,terminal,5.68,-0.07,,STRIKE,mutlak_tavan,0.1,25.0,13.55,-2.87,-0.08,1,1.29,26.24,1.11,10.0,4.76,1.8,-4.35,-20.43,-10.22,2.54,3.27,6.223,327.9,306.4,1,1,2.3,1.3,1.02,
57.058,0.03399999999999892,0.0682,304|299|342|311,38.0,12.0,38.0,3.79,1.0022,37.92,1.0,0.841,0.01677,0.36345,0.93146,0.99779,0.01677,-0.06425,0.96,3.68,0.9979,1.0,1.16,3.27,5.4,19.43,-4.57,-0.89,-11.5,1,0,ok,21.34,3.68,7.41,5.701,5.701,0,gz,terminal,5.68,-0.16,,STRIKE,mutlak_tavan,0.13,25.0,13.57,-2.9,-0.19,1,0.04,24.95,-2.48,10.0,4.37,-4.1,-8.77,-21.32,-10.66,0.68,4.56,6.185,322.1,302.1,1,1,0.28,-0.88,1.23,
57.09,0.03200000000000358,0.0734,302|295|341|306,39.0,11.0,39.0,4.02,1.0025,38.9,1.0,0.839,0.00565,0.33887,0.94082,0.99588,0.00565,-0.09049,0.32,5.19,0.9959,1.0,0.39,-5.36,-8.9,19.4,-4.69,-0.57,-14.3,1,0,ok,19.81,5.19,7.22,5.705,5.705,0,gz,terminal,5.68,-0.11,,STRIKE,mutlak_tavan,0.12,25.0,13.54,-2.95,-0.28,1,-1.18,23.71,-2.55,10.0,4.23,-4.2,-8.22,-19.81,-9.9,2.83,5.38,6.212,328.7,299.4,1,1,-2.5,-0.19,1.01,
57.124,0.03399999999999892,0.0851,308|292|349|303,41.0,11.0,41.0,3.83,1.0022,40.91,1.0,0.838,0.04539,0.32341,0.94517,0.99329,0.04539,-0.10633,2.62,6.1,0.9943,1.0,3.06,5.79,9.6,19.43,-4.56,-0.6,-9.9,1,1,ok,19.06,6.1,6.87,5.709,5.709,0,gz,terminal,5.68,-0.12,4,STRIKE,mutlak_tavan,0.12,25.0,13.55,-2.96,-0.32,1,-2.47,22.44,-2.67,10.0,4.07,-4.5,-8.05,-18.9,-9.45,1.41,6.7,6.23,324.3,295.1,1,1,1.2,-0.6,0.64,
